City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
172,Klaksvik,FO,2022-05-14 22:08:32,62.2266,-6.589,49.12,88,91,4.83,overcast clouds
173,Pringsewu,ID,2022-05-14 22:18:11,-5.3582,104.9744,74.3,88,81,1.83,broken clouds
174,Stornoway,GB,2022-05-14 22:18:12,58.2093,-6.3865,49.93,89,75,4.61,broken clouds
175,Taltal,CL,2022-05-14 22:18:13,-25.4,-70.4833,62.65,75,23,4.99,few clouds
176,Sao Filipe,CV,2022-05-14 22:18:14,14.8961,-24.4956,77.16,65,100,11.61,overcast clouds
177,Sarangani,PH,2022-05-14 22:18:15,5.4033,125.4636,80.55,81,100,9.64,overcast clouds
178,Dunmore Town,BS,2022-05-14 22:18:15,25.5,-76.65,78.46,80,20,16.35,few clouds
179,Rokupr,SL,2022-05-14 22:18:16,8.6717,-12.395,79.38,88,85,5.59,overcast clouds
180,Tateyama,JP,2022-05-14 22:18:17,34.9833,139.8667,62.53,81,97,22.44,overcast clouds
181,Nikolskoye,RU,2022-05-14 22:16:56,59.7035,30.7861,46.8,94,49,4.94,scattered clouds
182,Mar Del Plata,AR,2022-05-14 22:17:28,-38.0023,-57.5575,52.95,68,0,5.75,clear sky
183,Kamyshla,RU,2022-05-14 22:18:19,54.1169,52.1426,46.51,93,76,6.22,broken clouds
184,Tonantins,BR,2022-05-14 22:18:20,-2.8731,-67.8022,77.67,95,64,2.13,broken clouds
185,Nanchang,CN,2022-05-14 22:18:22,28.6833,115.8833,57.42,90,100,9.22,overcast clouds
186,Dunedin,NZ,2022-05-14 22:17:15,-45.8742,170.5036,48.79,90,100,1.99,overcast clouds
187,Coquimbo,CL,2022-05-14 22:16:32,-29.9533,-71.3436,56.93,82,20,9.22,few clouds
188,Banjar,ID,2022-05-14 22:18:23,-8.19,114.9675,77.45,86,62,2.59,broken clouds
189,Pueblo Nuevo,MX,2022-05-14 22:18:24,23.3833,-105.3833,80.35,34,73,8.79,broken clouds
190,Beringovskiy,RU,2022-05-14 22:13:53,63.05,179.3167,38.21,91,100,4.38,overcast clouds
191,Mandera,KE,2022-05-14 22:18:25,3.9366,41.867,81.23,63,95,19.06,overcast clouds
192,Hasaki,JP,2022-05-14 22:13:23,35.7333,140.8333,61.29,72,100,21.9,overcast clouds
193,Pontianak,ID,2022-05-14 22:18:26,-0.0333,109.3333,76.98,88,20,2.3,few clouds
194,Boende,CD,2022-05-14 22:18:27,-0.2167,20.8667,71.17,97,93,2.55,overcast clouds
195,Bethel,US,2022-05-14 22:11:39,41.3712,-73.414,74.17,83,75,6.91,broken clouds
196,Rocha,UY,2022-05-14 22:08:58,-34.4833,-54.3333,53.37,89,21,4.36,few clouds
197,Hamilton,US,2022-05-14 22:05:30,39.1834,-84.5333,85.73,56,0,10.36,clear sky
198,Rozvadiv,UA,2022-05-14 22:18:28,49.5,23.6167,52.61,77,92,6.06,overcast clouds
199,Lopez Mateos,MX,2022-05-14 22:18:29,15.4667,-93.0087,90.7,51,74,8.21,broken clouds
200,Provideniya,RU,2022-05-14 22:18:30,64.3833,-173.3,34.72,96,100,8.28,overcast clouds
201,Tashtagol,RU,2022-05-14 22:18:31,52.7657,87.8894,54.07,63,98,3.22,overcast clouds
202,Sumbe,AO,2022-05-14 22:18:31,-11.2061,13.8437,74.89,90,21,6.46,few clouds
