City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Strathpeffer,GB,2022-05-13 00:22:44,57.588,-4.5382,49.1,85,100,6.51
271,Berezovyy,RU,2022-05-13 00:22:44,51.6667,135.7,49.66,64,86,3.58
272,Cayenne,GF,2022-05-13 00:22:45,4.9333,-52.3333,82.09,1,75,9.22
273,Azare,NG,2022-05-13 00:22:46,11.6765,10.1948,89.2,35,25,5.23
274,Abu Samrah,SY,2022-05-13 00:22:47,35.3029,37.1841,60.98,52,62,5.86
275,Namatanai,PG,2022-05-13 00:22:47,-3.6667,152.4333,84.87,65,98,5.32
276,Emerald,AU,2022-05-13 00:22:48,-23.5333,148.1667,71.74,100,100,8.05
277,Rorvik,NO,2022-05-13 00:17:55,64.8621,11.2373,44.15,85,100,14.74
278,Trairi,BR,2022-05-13 00:20:09,-3.2778,-39.2689,75.97,93,24,7.34
279,Sistranda,NO,2022-05-13 00:22:49,63.7256,8.834,44.56,83,100,13.06
280,Matias Romero,MX,2022-05-13 00:22:49,16.8833,-95.0333,85.57,50,11,14.61
281,Mehamn,NO,2022-05-13 00:22:50,71.0357,27.8492,35.51,92,100,21.97
282,Yenagoa,NG,2022-05-13 00:22:50,4.9247,6.2642,76.32,93,32,3.58
283,Ambanja,MG,2022-05-13 00:22:51,-13.6833,48.45,72.01,91,22,3.09
284,Mandurah,AU,2022-05-13 00:22:38,-32.55,115.7,56.91,69,93,19.22
285,Ambilobe,MG,2022-05-13 00:22:51,-13.2,49.05,69.33,93,5,3.33
286,Tabuk,PH,2022-05-13 00:22:52,17.4189,121.4443,81.66,73,7,4.18
287,Sarangani,PH,2022-05-13 00:22:52,5.4033,125.4636,82.38,78,69,9.89
288,Chumikan,RU,2022-05-13 00:22:53,54.7183,135.315,33.76,100,100,4.88
289,Kendari,ID,2022-05-13 00:22:54,-3.945,122.4989,80.35,87,79,4.03
290,Kokopo,PG,2022-05-13 00:22:54,-4.352,152.2633,84.2,67,100,4.21
291,Qaqortoq,GL,2022-05-13 00:22:55,60.7167,-46.0333,32.86,91,100,2.13
292,Le Vauclin,MQ,2022-05-13 00:22:55,14.5452,-60.8388,80.65,74,20,12.66
293,Fangshan,CN,2022-05-13 00:22:56,39.6983,115.9925,61.52,14,82,9.28
294,Margate,GB,2022-05-13 00:22:56,51.3813,1.3862,53.87,82,39,4.0
